,x_coord,y_coord,BillNo,BillName,cluster_no
175,22.403805,27.82527,2101690,  부가가치세법 일부개정법률안,0
176,-21.279848,-14.402921,2101684,  고등교육법 일부개정법률안,2
177,8.183995,-11.116136,2101678,  국민건강보험법 일부개정법률안,2
178,-4.9718866,6.6471863,2101697,  최저임금법 일부개정법률안,2
179,-2.2966177,-11.247347,2101793,  119구조·구급에 관한 법률 일부개정법률안,2
180,8.063686,6.9513535,2101789,  법인세법 일부개정법률안,2
181,-8.192212,-15.74782,2101799,  물가안정에 관한 법률 일부개정법률안,2
182,-4.3649473,-19.401154,2101801,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
183,-16.52622,13.92958,2101778,  국유재산특례제한법 일부개정법률안,2
184,7.5274043,9.230858,2101781,  폐광지역 개발 지원에 관한 특별법 일부개정법률안,0
185,21.12673,20.27388,2101856,  조세특례제한법 일부개정법률안,0
186,21.140087,20.140429,2101857,  소득세법 일부개정법률안,0
187,-5.071372,-25.999424,2101866,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
188,16.366436,6.0778885,2101860,  소상공인 보호 및 지원에 관한 법률 일부개정법률안,2
189,22.09491,8.482333,2101871,  민간임대주택에 관한 특별법 일부개정법률안,0
190,5.4777746,10.064352,2101817,  조세특례제한법 일부개정법률안,2
191,-6.6019235,-22.16774,2101841,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
192,-5.3017983,-19.903984,2101838,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
193,-8.718634,-21.659708,2101832,  의료법 일부개정법률안,2
194,0.6015209,-11.004858,2101831,  정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안,2
195,4.2770777,7.5679865,2101948,  근로복지기본법 일부개정법률안,2
196,12.407649,28.697329,2101935,  조세특례제한법 일부개정법률안,0
197,1.829359,-26.635193,2101889,  조세특례제한법 일부개정법률안,2
198,6.6988244,3.5997605,2101997,  여객자동차 운수사업법 일부개정법률안,2
199,-0.12097615,0.37173197,2101994,  국가재정법 일부개정법률안,2
200,-7.8940887,-22.93927,2102000,  국민건강보험법 일부개정법률안,2
201,-0.3910097,4.5277057,2102002,  경제자유구역의 지정 및 운영에 관한 특별법 일부개정법률안,2
202,7.1472163,12.633269,2102011,  조세특례제한법 일부개정법률안,0
203,6.6180043,-3.459364,2102012,  이자제한법 일부개정법률안,2
204,19.465975,26.088383,2101958,  조세특례제한법 일부개정법률안,0
205,22.538254,26.415236,2101964,  부가가치세법 일부개정법률안,0
206,4.681718,10.961282,2101980,  경제자유구역의 지정 및 운영에 관한 특별법 일부개정법률안,2
207,6.811895,12.368712,2101978,  지방세특례제한법 일부개정법률안,2
208,-19.123571,12.617651,2101977,  대부업 등의 등록 및 금융이용자 보호에 관한 법률 일부개정법률안,2
209,5.0573726,2.6228573,2101981,  녹색건축물 조성 지원법 일부개정법률안,2
210,11.214151,13.339324,2102042,  조세특례제한법 일부개정법률안,0
211,21.531168,26.441278,2102023,  부가가치세법 일부개정법률안,0
212,9.2255745,13.552288,2102025,  조세특례제한법 일부개정법률안,0
213,10.541742,23.250866,2102109,  조세특례제한법 일부개정법률안,0
214,11.164457,6.9596033,2102093,  조세특례제한법 일부개정법률안,0
215,-3.398949,0.7231782,2102113,  학교체육 진흥법 일부개정법률안,2
216,-9.020619,-23.802263,2102089,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
217,-11.289835,-10.397061,2102079,  초·중등교육법 일부개정법률안,2
218,-1.5933226,1.607584,2102114,  산업집적활성화 및 공장설립에 관한 법률 일부개정법률안,2
219,21.82216,14.877469,2102143,  조세특례제한법 일부개정법률안,0
220,21.775324,14.856049,2102145,  법인세법 일부개정법률안,0
221,0.12451065,-1.248048,2102150,  액화석유가스의 안전관리 및 사업법 일부개정법률안,2
222,9.807315,15.78717,2102195,  조세특례제한법 일부개정법률안,0
223,13.010822,24.745155,2102163,  조세특례제한법 일부개정법률안,0
224,3.069262,-4.3975377,2102177,  특허법 일부개정법률안,2
225,2.5526605,-10.64148,2102184,  물가안정에 관한 법률 일부개정법률안,2
226,-17.450325,-10.487827,2102262,  사립학교법 일부개정법률안,2
227,-19.325201,-12.459824,2102261,  고등교육법 일부개정법률안,2
228,-9.836715,7.4800577,2102260,  근로기준법 일부개정법률안,2
229,-15.565103,-6.368602,2102259,  지방교육자치에 관한 법률 일부개정법률안,2
230,-17.450714,-10.48783,2102262,  사립학교법 일부개정법률안,2
231,-19.66079,-12.1087055,2102261,  고등교육법 일부개정법률안,2
232,-15.56503,-6.3685617,2102259,  지방교육자치에 관한 법률 일부개정법률안,2
233,-9.833985,7.478482,2102260,  근로기준법 일부개정법률안,2
234,6.7789345,6.404364,2102239,  한국산업은행법 일부개정법률안,2
235,2.274031,9.981577,2102272,  수산물 유통의 관리 및 지원에 관한 법률 일부개정법률안,2
236,2.2740815,9.981314,2102272,  수산물 유통의 관리 및 지원에 관한 법률 일부개정법률안,2
237,5.4610786,7.4482355,2102323,  근로복지기본법 일부개정법률안,2
238,5.460957,7.4478793,2102323,  근로복지기본법 일부개정법률안,2
239,7.6919723,4.129106,2102381,  고용보험법 일부개정법률안,2
240,-10.097807,-18.182377,2102348,  조세특례제한법 일부개정법률안,2
241,-4.244284,-23.03738,2102358,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
242,7.6920133,4.1290874,2102381,  고용보험법 일부개정법률안,2
243,0.6610629,-25.96999,2102348,  조세특례제한법 일부개정법률안,2
244,-4.244717,-23.037252,2102358,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
245,-10.123103,-21.543695,2102402,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
246,-28.644047,16.829275,2102421,  지방재정법 일부개정법률안,1
247,-10.123103,-21.543694,2102402,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
248,1.2986206,-20.367678,2102410,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
249,-30.049715,15.014577,2102415,  국가회계법 일부개정법률안,1
250,-28.85857,15.848025,2102416,  지방자치단체 기금관리기본법 일부개정법률안,1
251,-30.9263,16.177425,2102417,  국가재정법 일부개정법률안,1
252,-7.3601646,-1.8205844,2102418,  한국방송통신대학교 설립ㆍ운영에 관한 법률안,2
253,-27.898182,15.9694395,2102422,  지방회계법 일부개정법률안,1
254,-19.921072,14.147859,2102391,  의료법 일부개정법률안,2
255,1.7259125,-20.735718,2102410,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
256,-29.94079,14.06058,2102415,  국가회계법 일부개정법률안,1
257,-29.723854,16.876192,2102416,  지방자치단체 기금관리기본법 일부개정법률안,1
258,-7.3601646,-1.8205844,2102418,  한국방송통신대학교 설립ㆍ운영에 관한 법률안,2
259,-28.006006,14.913695,2102421,  지방재정법 일부개정법률안,1
260,-29.751534,15.929664,2102422,  지방회계법 일부개정법률안,1
261,-31.097807,15.029795,2102417,  국가재정법 일부개정법률안,1
262,-18.791164,14.138423,2102390,  지역의사 양성을 위한 법률안,2
263,15.902742,-5.345979,2102441,  인천국제공항공사법 일부개정법률안,2
264,19.63748,10.330698,2102437,  지방세특례제한법 일부개정법률안,0
265,13.959981,0.752329,2102431,  공공주택 특별법 일부개정법률안,2
266,11.051733,21.844847,2102430,  조세특례제한법 일부개정법률안,0
267,17.225983,-4.5991077,2102441,  인천국제공항공사법 일부개정법률안,2
268,19.63794,10.329206,2102437,  지방세특례제한법 일부개정법률안,0
269,13.960076,0.7522995,2102431,  공공주택 특별법 일부개정법률안,2
270,11.051613,21.84505,2102430,  조세특례제한법 일부개정법률안,0
271,9.091671,26.826914,2102494,  지방세특례제한법 일부개정법률안,0
272,-20.37479,16.226807,2102496,  지방세특례제한법 일부개정법률안,2
273,-20.780859,17.028534,2102497,  조세특례제한법 일부개정법률안,2
274,18.032843,17.692125,2102498,  조세특례제한법 일부개정법률안,0
275,-3.9385371,3.5588827,2102467,  국가재정법 일부개정법률안,2
276,-17.168108,11.844258,2102470,  지방의료원의 설립 및 운영에 관한 법률 일부개정법률안,2
277,-16.698467,-1.2097374,2102471,  국유재산특례제한법 일부개정법률안,2
278,-20.896639,15.717778,2102496,  지방세특례제한법 일부개정법률안,2
279,-21.463127,16.547302,2102497,  조세특례제한법 일부개정법률안,2
280,18.032124,17.69213,2102498,  조세특례제한법 일부개정법률안,0
281,9.091671,26.826914,2102494,  지방세특례제한법 일부개정법률안,0
282,-3.9385371,3.5588827,2102467,  국가재정법 일부개정법률안,2
283,-17.167356,11.844403,2102470,  지방의료원의 설립 및 운영에 관한 법률 일부개정법률안,2
284,-16.698462,-1.209737,2102471,  국유재산특례제한법 일부개정법률안,2
285,-5.2246323,-1.5709077,2102501,  걷기여행길의 조성·관리 및 이용촉진에 관한 법률안,2
286,-5.2248354,-1.5706804,2102501,  걷기여행길의 조성·관리 및 이용촉진에 관한 법률안,2
